# Reference solar spectrum, disc centre.
# Delbouille, Neven & Roland (1972), Jungfraujoch; served by BASS2000
# (bass2000.obspm.fr).  Intensity is linear, continuum = 10000.
wavelength_nm,intensity,label
375.5210,9129,
375.6210,9147,
375.7210,6979,
375.8210,390,
375.9210,2541,
376.0210,4753,
376.1210,4576,
376.2210,1482,
376.3210,6753,
376.4210,2266,
376.5210,8609,
376.6210,6928,
376.7210,277,
376.8210,4676,
376.9210,7458,
377.0210,5085,
377.1210,5939,
377.2210,6775,
377.3210,7240,
377.4210,8516,
377.5210,7319,
377.6210,7039,
377.7210,9055,
377.8210,8563,
377.9210,3262,
378.0210,8644,
378.1210,1523,
378.2210,6386,
378.3210,8063,
378.4210,9144,
378.5210,7643,
378.6210,1322,
378.7210,3216,
378.8210,7149,
378.9210,2439,
379.0210,1488,
379.1210,7941,
379.2210,6328,
379.3210,7629,
379.4210,7475,
379.5210,4093,
379.6210,5201,
379.7210,4411,
379.8210,4093,
379.9210,4296,
380.0210,7029,
380.1210,6661,
380.2210,7650,
380.3210,6665,
380.4210,8176,
380.5210,6771,
380.6210,1286,
380.7210,3188,
380.8210,7777,
380.9210,8529,
381.0210,9161,
381.1210,9324,
381.2210,7296,
381.3210,6588,
381.4210,7855,
381.5210,5719,
381.6210,2199,
381.7210,7795,
381.8210,4023,
381.9210,3147,
382.0210,1430,
382.0440,214,Fe L
382.1440,5919,
382.2440,6653,
382.3440,6011,
382.4440,307,
382.5440,2347,
382.6440,3135,
382.7440,4138,
382.8440,4017,
382.9440,982,
383.0440,5758,
383.1440,4850,
383.2440,1274,
383.3440,4610,
383.4440,1751,
383.5440,2855,
383.6440,4216,
383.7440,3202,
383.8440,1241,
383.9440,3328,
384.0440,240,
384.1440,3673,
384.2440,7177,
384.3440,5066,
384.4440,5240,
384.5440,1221,
384.6440,2202,
384.7440,6132,
384.8440,8244,
384.9440,6144,
385.0440,5578,
385.1440,7718,
385.2440,2635,
385.3440,2892,
385.4440,5079,
385.5440,4766,
385.6440,1049,
385.7440,7192,
385.8440,4136,
385.9440,2532,
386.0440,2878,
386.1440,4140,
386.2440,5941,
